grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 3702,Abril,1,35028303.0,5.42,102,5.43,5.42,5.42,3,3,2.0
SAE 3702,Abril,1,35028304.0,5.42,101,5.43,5.42,5.42,4,3,2.0
SAE 3702,Abril,1,35028305.0,5.42,99,5.43,5.42,5.42,2,1,1.0
SAE 3702,Abril,1,35028306.0,5.42,104,5.43,5.42,5.42,2,2,2.0
SAE 3702,Abril,1,35028307.0,5.42,97,5.43,5.42,5.42,2,2,2.0
SAE 3702,Abril,1,35028308.0,5.42,99,5.43,5.42,5.42,2,3,3.0
SAE 1022,Abril,2,35028309.0,5.13,102,5.13,5.14,5.13,10,9,6.0
SAE 3702,Abril,2,35028310.0,5.42,97,5.42,5.41,5.41,3,2,3.0
SAE 3702,Abril,2,35028311.0,5.42,88,5.41,5.42,5.42,3,2,5.0
SAE 3702,Abril,2,35028312.0,5.42,104,5.42,5.41,5.41,3,2,5.0
SAE 3702,Abril,2,35028313.0,5.42,96,5.41,5.42,5.42,2,2,3.0
SAE 3702,Abril,2,35028314.0,5.42,102,5.43,5.42,5.42,4,2,3.0
SAE 3702,Abril,2,35028315.0,5.42,110,5.43,5.42,5.42,3,2,2.0
SAE 3702,Abril,2,35028316.0,5.42,88,5.43,5.42,5.42,3,2,3.0
SAE 3702,Abril,2,35028317.0,5.42,111,5.43,5.42,5.42,2,2,2.0
SAE 3702,Abril,2,35028318.0,5.42,94,5.43,5.42,5.42,3,3,2.0
SAE 3702,Abril,2,35028319.0,5.42,108,5.43,5.43,5.42,3,3,2.0
SAE 3702,Abril,2,35028320.0,5.42,95,5.43,5.43,5.42,3,2,2.0
SAE 3702,Abril,2,35028321.0,5.42,103,5.43,5.42,5.42,2,4,2.0
SAE 3702,Abril,2,35028322.0,5.42,98,5.43,5.42,5.42,2,2,2.0
SAE 3702,Abril,2,35028323.0,5.42,101,5.43,5.42,5.42,2,3,2.0
SAE 3702,Abril,2,35028324.0,5.42,99,5.43,5.42,5.42,3,2,2.0
SAE 3702,Abril,3,35028325.0,5.42,100,5.41,5.42,5.42,5,11,3.0
